2	50	-7.5	3	100
0.64	0.45	-0.8764		
-0.5	-0.72	7.37		
0.95	0.12	1.4045		
-0.25	-0.18	2.4575		
0	0.4	-1.8		
0.83	0.44	-0.2955		
0.4	0.11	0.522		
-0.81	0.79	-5.7936		
-0.79	0.8	-5.8719		
0.9	-0.06	2.068		
0.73	-0.03	1.6772		
-0.45	-0.28	3.5405		
-0.34	0.32	-1.4508		
0.18	-0.61	4.973		
-0.02	0.61	-3.3062		
-0.66	-0.78	8.44		
-0.18	-0.06	1.4848		
0.94	-0.77	5.1022		
0.77	-0.84	5.5325		
0.58	0.7	-2.3456		
0.89	0.05	1.5756		
-0.53	-0.02	1.4527		
-0.71	0.81	-5.8912		
-0.59	0.83	-5.931		
0.32	-0.89	6.478		
-0.95	-0.73	9.093		
-0.61	0.2	-0.3939		
0.15	-0.41	3.708		
0.08	-0.6	5.0624		
-0.95	-0.49	6.729		
-0.59	-0.79	8.2764		
0.31	0.62	-2.6673		
0.62	-0.83	5.6506		
0.73	-0.37	3.3126		
0.99	-0.96	5.8489		
0.79	0.16	0.8833		
-0.1	-0.07	1.521		
-0.64	0.17	-0.1068		
0.27	-0.61	4.8488		
-0.08	0.44	-2.1792		
0.43	0.04	0.9565		
0.05	-0.44	4.0165		
-0.54	-0.73	7.5842		
0.28	-0.3	2.9264		
0.96	0.98	-2.116		
0.31	-0.28	2.7957		
0.07	-0.23	2.5666		
0.42	-0.72	5.3092		
-0.94	-0.74	9.1504		
-0.28	-0.96	8.6048		
-0.72	0.28	-1.0464		
0.25	0.02	0.9375		
0.28	0.6	-2.6176		
-0.38	0.7	-4.5536		
-0.72	0.63	-4.2524		
-0.04	0.72	-4.1248		
0.74	-0.14	2.2168		
-0.58	-0.47	5.4442		
-0.97	0.45	-2.5186		
0.03	0.64	-3.4215		
0.66	0.82	-2.6808		
0.54	0.5	-1.3984		
-0.63	-0.94	9.7535		
-0.48	0.77	-5.2684		
0.6	-0.53	4.116		
-0.54	0.95	-6.8974		
-0.3	-0.37	4.013		
-0.89	0.01	1.6954		
-0.11	-0.79	6.8028		
0.22	-0.2	2.3164		
-0.88	-0.71	8.6188		
0.12	0.54	-2.5712		
0.76	0.76	-2.0096		
-0.23	0.07	0.5146		
-0.38	0.6	-3.7396		
0.13	-0.02	1.1491		
0.71	0.59	-1.3692		
-0.52	-0.26	3.496		
0.02	0.79	-4.4822		
0.97	0.89	-1.6992		
-0.73	-0.45	5.6684		
-0.92	-0.46	6.336		
0.55	0.06	0.9815		
0.8	-0.85	5.55		
0.5	0.63	-2.215		
-0.03	0.57	-3.0404		
0.18	0.77	-3.9418		
-0.61	0.22	-0.5705		
0.02	-0.24	2.666		
-0.65	0.62	-4.1265		
-0.37	-0.4	4.3809		
0.76	0.67	-1.5848		
0.93	0.21	0.9808		
-0.06	0.26	-0.8632		
-0.31	0.36	-1.7587		
0.91	-0.96	5.9273		
-0.11	0.28	-1.0403		
-0.78	-0.68	7.9596		
0.84	-0.83	5.424		
-0.37	-0.62	6.1651		
